Iter, Cost
0, 707043.0
1, 635046.0
2, 577706.0
3, 549464.0
4, 533481.0
5, 519894.0
6, 511636.0
7, 498213.0
8, 486545.0
9, 465927.0
10, 458337.0
11, 447836.0
12, 432550.0
13, 422422.0
14, 412578.0
15, 407048.0
16, 407749.0
17, 406506.0
18, 403323.0
19, 400860.0
20, 396566.0
21, 398768.0
22, 396213.0
23, 393599.0
24, 391190.0
25, 387040.0
26, 393610.0
27, 390760.0
28, 396949.0
29, 389304.0
30, 382382.0
31, 386271.0
32, 385457.0
33, 385277.0
34, 395122.0
35, 381172.0
36, 380486.0
37, 380408.0
38, 380919.0
39, 380198.0
40, 380198.0
41, 376894.0
42, 371065.0
43, 370489.0
44, 369182.0
45, 372469.0
46, 372469.0
47, 367411.0
48, 368805.0
49, 368572.0
50, 369658.0
51, 368883.0
52, 367230.0
53, 366709.0
54, 363388.0
55, 364020.0
56, 365560.0
57, 363179.0
58, 363019.0
59, 359492.0
60, 358621.0
61, 358621.0
62, 357813.0
63, 356709.0
64, 355515.0
65, 355015.0
66, 354885.0
67, 359663.0
68, 359593.0
69, 358712.0
70, 353405.0
71, 353209.0
72, 353179.0
73, 353179.0
74, 354350.0
75, 354244.0
76, 354401.0
77, 352820.0
78, 352580.0
79, 352102.0
80, 348770.0
81, 348015.0
82, 348047.0
83, 346026.0
84, 345031.0
85, 345031.0
86, 345157.0
87, 344247.0
88, 343316.0
89, 343116.0
90, 342885.0
91, 341540.0
92, 341729.0
93, 341729.0
94, 341739.0
95, 341751.0
96, 341476.0
97, 341308.0
98, 341158.0
99, 340821.0
100, 340048.0
101, 340014.0
102, 339753.0
103, 339395.0
104, 339395.0
105, 339306.0
106, 339270.0
107, 337656.0
108, 335663.0
109, 335649.0
110, 335400.0
111, 333856.0
112, 333690.0
113, 333694.0
114, 333397.0
115, 335506.0
116, 335506.0
117, 335252.0
118, 335028.0
119, 334689.0
120, 334689.0
121, 334689.0
122, 333295.0
123, 333295.0
124, 333890.0
125, 333890.0
126, 333748.0
127, 333642.0
128, 333642.0
129, 333238.0
130, 333238.0
131, 333238.0
132, 335161.0
133, 334443.0
134, 333749.0
135, 332748.0
136, 332562.0
137, 334164.0
138, 334149.0
139, 333904.0
140, 334269.0
141, 335429.0
142, 335429.0
143, 334803.0
144, 334803.0
145, 334803.0
146, 334681.0
147, 334497.0
148, 338463.0
149, 338230.0
150, 338138.0
151, 337672.0
152, 340056.0
153, 340056.0
154, 339902.0
155, 339902.0
156, 339607.0
157, 339607.0
158, 334867.0
159, 334843.0
160, 334819.0
161, 334903.0
162, 335461.0
163, 335269.0
164, 335869.0
165, 335271.0
166, 335123.0
167, 335017.0
168, 335017.0
169, 334132.0
170, 334388.0
171, 330679.0
172, 330704.0
173, 330704.0
174, 330704.0
175, 330704.0
176, 331428.0
177, 331370.0
178, 331370.0
179, 331152.0
180, 330557.0
181, 330279.0
182, 330279.0
183, 328177.0
184, 328125.0
185, 328125.0
186, 328149.0
187, 328149.0
188, 327691.0
189, 327691.0
190, 327566.0
191, 327566.0
192, 328530.0
193, 328530.0
194, 328530.0
195, 328530.0
196, 328530.0
197, 328530.0
198, 327904.0
199, 327904.0
200, 327044.0
201, 327186.0
202, 327186.0
203, 327186.0
204, 327186.0
205, 327186.0
206, 327048.0
207, 326812.0
208, 326896.0
209, 329791.0
210, 329299.0
211, 329568.0
212, 329508.0
213, 327938.0
214, 327393.0
215, 327309.0
216, 326677.0
217, 325291.0
218, 325957.0
219, 326015.0
220, 325827.0
221, 325827.0
222, 325892.0
223, 325892.0
224, 325892.0
225, 325920.0
226, 325920.0
227, 325902.0
228, 325902.0
229, 325902.0
230, 325902.0
231, 325902.0
232, 325054.0
233, 325037.0
234, 325032.0
235, 325032.0
236, 325032.0
237, 324298.0
238, 324301.0
239, 324301.0
240, 324279.0
241, 324279.0
242, 324279.0
243, 324279.0
244, 324199.0
245, 324767.0
246, 324767.0
247, 324767.0
248, 324762.0
249, 324762.0
250, 324734.0
251, 324593.0
252, 324593.0
253, 324605.0
254, 324605.0
255, 324469.0
256, 324474.0
257, 324723.0
258, 324723.0
259, 323183.0
260, 323183.0
261, 322833.0
262, 322559.0
263, 322539.0
264, 322539.0
265, 322539.0
266, 322513.0
267, 323447.0
268, 323532.0
269, 323541.0
270, 323535.0
271, 324203.0
272, 324203.0
273, 324203.0
274, 324203.0
275, 324203.0
276, 324203.0
277, 324203.0
278, 324011.0
279, 324011.0
280, 324011.0
281, 324005.0
282, 324005.0
283, 324005.0
284, 323993.0
285, 324439.0
286, 324439.0
287, 324439.0
288, 324431.0
289, 324431.0
290, 324431.0
291, 324143.0
292, 324143.0
293, 324143.0
294, 323950.0
295, 323950.0
296, 323950.0
297, 323950.0
298, 323952.0
299, 323952.0
300, 323952.0
301, 323935.0
302, 323935.0
303, 323791.0
304, 323791.0
305, 322525.0
306, 322525.0
307, 322525.0
308, 322036.0
309, 320772.0
310, 320542.0
311, 320542.0
312, 320551.0
313, 320551.0
314, 320527.0
315, 320527.0
316, 320527.0
317, 320403.0
318, 320403.0
319, 320406.0
320, 320406.0
321, 320406.0
322, 320406.0
323, 320406.0
324, 320406.0
325, 320406.0
326, 320236.0
327, 320236.0
328, 320236.0
329, 320239.0
330, 320239.0
331, 320221.0
332, 320221.0
333, 320221.0
334, 320223.0
335, 320090.0
336, 320090.0
337, 320090.0
338, 320090.0
339, 320090.0
340, 319978.0
341, 319978.0
342, 320060.0
343, 320060.0
344, 320060.0
345, 320060.0
346, 320060.0
347, 320060.0
348, 320018.0
349, 320018.0
350, 320465.0
351, 320465.0
352, 320115.0
353, 320115.0
354, 320115.0
355, 320115.0
356, 320115.0
357, 320115.0
358, 320115.0
359, 320115.0
360, 320015.0
361, 319775.0
362, 319280.0
363, 318740.0
364, 318740.0
365, 318740.0
366, 318740.0
367, 318722.0
368, 318722.0
369, 318476.0
370, 318476.0
371, 318396.0
372, 318552.0
373, 318552.0
374, 318552.0
375, 318552.0
376, 318552.0
377, 319139.0
378, 319139.0
379, 319139.0
380, 319139.0
381, 319139.0
382, 319139.0
383, 319067.0
384, 319067.0
385, 319067.0
386, 318871.0
387, 318871.0
388, 318511.0
389, 318511.0
390, 318511.0
391, 318511.0
392, 318487.0
393, 318227.0
394, 318227.0
395, 318227.0
396, 318155.0
397, 318155.0
398, 318873.0
399, 318873.0
400, 318873.0
401, 318273.0
402, 318261.0
403, 317901.0
404, 317901.0
405, 317901.0
406, 317901.0
407, 317901.0
408, 317901.0
409, 317795.0
410, 317720.0
411, 317720.0
412, 317714.0
413, 317714.0
414, 317714.0
415, 317714.0
416, 317714.0
417, 317662.0
418, 317662.0
419, 317539.0
420, 317477.0
421, 317477.0
422, 317218.0
423, 317218.0
424, 317218.0
425, 317218.0
426, 317218.0
427, 316775.0
428, 316775.0
429, 316775.0
430, 316711.0
431, 316711.0
432, 316711.0
433, 316711.0
434, 316621.0
435, 316617.0
436, 316617.0
437, 316481.0
438, 316481.0
439, 316356.0
440, 316304.0
441, 316304.0
442, 316304.0
443, 316304.0
444, 316394.0
445, 316394.0
446, 316310.0
447, 316310.0
448, 316310.0
449, 316310.0
450, 316220.0
451, 316220.0
452, 316220.0
453, 316220.0
454, 316220.0
455, 316220.0
456, 316220.0
457, 316128.0
458, 316124.0
459, 316124.0
460, 316124.0
461, 316124.0
462, 316124.0
463, 316030.0
464, 316030.0
465, 316030.0
466, 316030.0
467, 316030.0
468, 316030.0
469, 316030.0
470, 316002.0
471, 316002.0
472, 315934.0
473, 315934.0
474, 315934.0
475, 315934.0
476, 315934.0
477, 315934.0
478, 315938.0
479, 315938.0
480, 315858.0
481, 315858.0
482, 315858.0
483, 315736.0
484, 315736.0
485, 315736.0
486, 315736.0
487, 315736.0
488, 315736.0
489, 315736.0
490, 315736.0
491, 315566.0
492, 315566.0
493, 315566.0
494, 315046.0
495, 315046.0
496, 315046.0
497, 315046.0
498, 314834.0
499, 314834.0